,Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
2648,Vidar Reactor Mk Ii,Rare (6.00%)
2649,Vidar Shield Array Mk Ii,Rare (6.00%)
2650,Vidar Plating Mk Ii,Rare (6.00%)
2651,Meso P11 Relic,Rare (2.00%)
2652,Meso H4 Relic,Rare (2.00%)
2653,Meso N14 Relic,Rare (2.00%)
2654,Meso P10 Relic,Rare (2.00%)
2655,Meso D7 Relic,Rare (2.00%)
2656,Meso K4 Relic,Rare (2.00%)
2657,Meso S12 Relic,Rare (2.00%)
2658,,
2659,Saturn/Lupal Pass (Skirmish) Extra,Saturn/Lupal Pass (Skirmish) Extra
2660,200X Carbides,Uncommon (28.57%)
2661,200X Titanium,Uncommon (28.57%)
2662,5X Gallos Rods,Uncommon (14.29%)
2663,5X Asterite,Uncommon (14.29%)
2664,Komms,Rare (7.14%)
2665,Nullstones,Rare (7.14%)
2666,,
2667,Saturn/Lupal Pass (Caches),Saturn/Lupal Pass (Caches)
2668,300 Endo,Uncommon (20.00%)
2669,450 Endo,Uncommon (10.00%)
2670,Oberon Chassis Blueprint,Uncommon (10.00%)
2671,Countermeasures,Rare (4.03%)
2672,Munitions Vortex,Rare (4.03%)
2673,Blackout Pulse,Rare (4.03%)
2674,Meso P11 Relic,Rare (5.99%)
2675,Meso H4 Relic,Rare (5.99%)
2676,Meso N14 Relic,Rare (5.99%)
2677,Meso P10 Relic,Rare (5.99%)
2678,Meso D7 Relic,Rare (5.99%)
2679,Meso K4 Relic,Rare (5.99%)
2680,Meso S12 Relic,Rare (5.99%)
2681,Lith C7 Relic,Rare (6.00%)
2682,,
2683,Saturn/Vand Cluster (Skirmish),Saturn/Vand Cluster (Skirmish)
2684,300 Endo,Uncommon (20.00%)
2685,450 Endo,Uncommon (10.00%)
2686,2X Riven Sliver,Rare (5.50%)
2687,Forma Blueprint,Rare (2.50%)
2688,Lavan Engines Mk Ii,Rare (6.00%)
2689,Lavan Reactor Mk Ii,Rare (6.00%)
2690,Lavan Shield Array Mk Ii,Rare (6.00%)
2691,Lavan Plating Mk Ii,Rare (6.00%)
2692,Vidar Engines Mk Ii,Rare (6.00%)
2693,Vidar Reactor Mk Ii,Rare (6.00%)
2694,Vidar Shield Array Mk Ii,Rare (6.00%)
2695,Vidar Plating Mk Ii,Rare (6.00%)
2696,Meso P11 Relic,Rare (2.00%)
2697,Meso H4 Relic,Rare (2.00%)
2698,Meso N14 Relic,Rare (2.00%)
2699,Meso P10 Relic,Rare (2.00%)
2700,Meso D7 Relic,Rare (2.00%)
2701,Meso K4 Relic,Rare (2.00%)
2702,Meso S12 Relic,Rare (2.00%)
2703,,
2704,Saturn/Vand Cluster (Skirmish) Extra,Saturn/Vand Cluster (Skirmish) Extra
2705,200X Carbides,Uncommon (28.57%)
2706,200X Titanium,Uncommon (28.57%)
2707,5X Gallos Rods,Uncommon (14.29%)
2708,5X Asterite,Uncommon (14.29%)
2709,Komms,Rare (7.14%)
2710,Nullstones,Rare (7.14%)
2711,,
2712,Saturn/Vand Cluster (Caches),Saturn/Vand Cluster (Caches)
2713,300 Endo,Uncommon (20.00%)
2714,450 Endo,Uncommon (10.00%)
2715,Oberon Chassis Blueprint,Uncommon (10.00%)
2716,Countermeasures,Rare (4.03%)
2717,Munitions Vortex,Rare (4.03%)
2718,Blackout Pulse,Rare (4.03%)
2719,Meso P11 Relic,Rare (5.99%)
2720,Meso H4 Relic,Rare (5.99%)
2721,Meso N14 Relic,Rare (5.99%)
2722,Meso P10 Relic,Rare (5.99%)
2723,Meso D7 Relic,Rare (5.99%)
2724,Meso K4 Relic,Rare (5.99%)
2725,Meso S12 Relic,Rare (5.99%)
2726,Lith C7 Relic,Rare (6.00%)
2727,,
2728,Event: Saturn/Mimas (Rescue),Event: Saturn/Mimas (Rescue)
2729,Rotation A,Rotation A
2730,Vapor Specter Blueprint,Very Common (100.00%)
2731,Rotation B,Rotation B
2732,Phase Specter Blueprint,Very Common (100.00%)
2733,Rotation C,Rotation C
2734,Force Specter Blueprint,Very Common (100.00%)
2735,,
2736,Event: Saturn/Iapetus (Interception),Event: Saturn/Iapetus (Interception)
2737,Rotation A,Rotation A
2738,Vitality,Uncommon (10.00%)
2739,Magazine Warp,Uncommon (10.00%)
2740,Trick Mag,Uncommon (10.00%)
2741,Meso P11 Relic,Uncommon (10.00%)
2742,Meso H4 Relic,Uncommon (10.00%)
2743,Meso N14 Relic,Uncommon (10.00%)
2744,Meso P10 Relic,Uncommon (10.00%)
2745,Meso D7 Relic,Uncommon (10.00%)
2746,Meso K4 Relic,Uncommon (10.00%)
2747,Meso S12 Relic,Uncommon (10.00%)
2748,Rotation B,Rotation B
2749,Target Cracker,Rare (7.14%)
2750,No Return,Rare (7.14%)
2751,Serration,Rare (7.14%)
2752,Hornet Strike,Rare (7.14%)
2753,Reflex Coil,Rare (7.14%)
2754,North Wind,Rare (7.14%)
2755,Hell's Chamber,Rare (7.14%)
2756,Neo S17 Relic,Rare (7.14%)
2757,Neo L2 Relic,Rare (7.14%)
2758,Neo K5 Relic,Rare (7.14%)
2759,Neo N22 Relic,Rare (7.14%)
2760,Neo C3 Relic,Rare (7.14%)
2761,Neo C2 Relic,Rare (7.14%)
2762,Neo M4 Relic,Rare (7.14%)
2763,Rotation C,Rotation C
2764,Neo S17 Relic,Uncommon (14.29%)
2765,Neo L2 Relic,Uncommon (14.29%)
2766,Neo K5 Relic,Uncommon (14.29%)
2767,Neo N22 Relic,Uncommon (14.29%)
2768,Neo C3 Relic,Uncommon (14.29%)
2769,Neo C2 Relic,Uncommon (14.29%)
2770,Neo M4 Relic,Uncommon (14.29%)
2771,,
2772,Saturn/Tethys (Assassination),Saturn/Tethys (Assassination)
2773,Ember Neuroptics Blueprint,Common (38.72%)
2774,Ember Chassis Blueprint,Common (38.72%)
2775,Ember Systems Blueprint,Uncommon (22.56%)
2776,,
2777,Event: Saturn/Phoebe (Capture),Event: Saturn/Phoebe (Capture)
2778,Vitality,Uncommon (10.84%)
2779,Fast Deflection,Uncommon (10.84%)
2780,Rush,Uncommon (11.06%)
2781,Magazine Warp,Uncommon (10.84%)
2782,Trick Mag,Uncommon (10.84%)
2783,Pressure Point,Legendary (0.34%)
2784,Ammo Drum,Uncommon (11.06%)
2785,Fast Hands,Uncommon (10.84%)
2786,Quickdraw,Uncommon (10.84%)
2787,Health Restore (Large),Uncommon (10.84%)
2788,Omni Ammo Box,Legendary (0.34%)
2789,North Wind,Legendary (0.34%)
2790,Shocking Touch,Legendary (0.34%)
2791,Molten Impact,Legendary (0.34%)
2792,Stretch,Legendary (0.34%)
2793,,
2794,Saturn/Rhea (Interception),Saturn/Rhea (Interception)
2795,Rotation A,Rotation A
2796,Vitality,Uncommon (10.00%)
2797,Magazine Warp,Uncommon (10.00%)
2798,Trick Mag,Uncommon (10.00%)
2799,Meso P11 Relic,Uncommon (10.00%)
2800,Meso H4 Relic,Uncommon (10.00%)
2801,Meso N14 Relic,Uncommon (10.00%)
2802,Meso P10 Relic,Uncommon (10.00%)
2803,Meso D7 Relic,Uncommon (10.00%)
2804,Meso K4 Relic,Uncommon (10.00%)
2805,Meso S12 Relic,Uncommon (10.00%)
2806,Rotation B,Rotation B
2807,Target Cracker,Rare (7.14%)
2808,No Return,Rare (7.14%)
2809,Serration,Rare (7.14%)
2810,Hornet Strike,Rare (7.14%)
2811,Reflex Coil,Rare (7.14%)
2812,North Wind,Rare (7.14%)
2813,Hell's Chamber,Rare (7.14%)
2814,Neo S17 Relic,Rare (7.14%)
2815,Neo L2 Relic,Rare (7.14%)
2816,Neo K5 Relic,Rare (7.14%)
2817,Neo N22 Relic,Rare (7.14%)
2818,Neo C3 Relic,Rare (7.14%)
2819,Neo C2 Relic,Rare (7.14%)
2820,Neo M4 Relic,Rare (7.14%)
2821,Rotation C,Rotation C
2822,Neo S17 Relic,Uncommon (14.29%)
2823,Neo L2 Relic,Uncommon (14.29%)
2824,Neo K5 Relic,Uncommon (14.29%)
2825,Neo N22 Relic,Uncommon (14.29%)
2826,Neo C3 Relic,Uncommon (14.29%)
2827,Neo C2 Relic,Uncommon (14.29%)
2828,Neo M4 Relic,Uncommon (14.29%)
2829,,
2830,Event: Saturn/Pallene (Caches),Event: Saturn/Pallene (Caches)
2831,Rotation A,Rotation A
2832,"5,000 Credits Cache",Very Common (100.00%)
2833,Rotation B,Rotation B
2834,400 Endo,Uncommon (12.65%)
2835,400 Endo,Uncommon (12.65%)
2836,400 Endo,Uncommon (12.65%)
2837,400 Endo,Uncommon (22.11%)
2838,400 Endo,Ultra Rare (1.01%)
2839,400 Endo,Ultra Rare (1.01%)
2840,300X Polymer Bundle,Uncommon (12.65%)
2841,350X Rubedo,Uncommon (12.65%)
2842,300X Plastids,Uncommon (12.65%)
2843,Rotation C,Rotation C
2844,600 Endo,Uncommon (15.10%)
2845,600 Endo,Uncommon (15.10%)
2846,600 Endo,Rare (4.40%)
2847,Orokin Cell,Uncommon (15.10%)
2848,Gallium,Uncommon (15.10%)
2849,Neurodes,Uncommon (15.10%)
2850,2X Orokin Cell,Rare (4.40%)
2851,2X Gallium,Rare (4.40%)
2852,2X Neurodes,Rare (4.40%)
2853,Tellurium,Rare (4.40%)
2854,Argon Crystal,Ultra Rare (1.00%)
2855,Nitain Extract,Ultra Rare (1.00%)
2856,Xiphos Engines Blueprint,Legendary (0.50%)
2857,,
2858,Event: Saturn/Aegaeon (Spy),Event: Saturn/Aegaeon (Spy)
2859,Rotation A,Rotation A
2860,Vitality,Rare (9.09%)
2861,Magazine Warp,Rare (9.09%)
2862,Trick Mag,Rare (9.09%)
2863,Pressure Point,Rare (9.09%)
2864,Ammo Drum,Rare (9.09%)
2865,Fast Hands,Rare (9.09%)
2866,Point Strike,Rare (9.09%)
2867,Piercing Hit,Rare (9.09%)
2868,Pistol Gambit,Rare (9.09%)
2869,Blunderbuss,Rare (9.09%)
2870,Live Wire,Rare (9.09%)
2871,Rotation B,Rotation B
2872,Speed Trigger,Rare (5.56%)
2873,Fast Deflection,Rare (5.56%)
2874,Rush,Rare (5.56%)
2875,Target Cracker,Rare (5.56%)
2876,No Return,Rare (5.56%)
2877,Serration,Rare (5.56%)
2878,Hornet Strike,Rare (5.56%)
2879,Reflex Coil,Rare (5.56%)
2880,Deep Freeze,Rare (5.56%)
2881,North Wind,Rare (5.56%)
2882,Cryo Rounds,Rare (5.56%)
2883,Hell's Chamber,Rare (5.56%)
2884,Streamline,Rare (5.56%)
2885,Shocking Touch,Rare (5.56%)
2886,Stormbringer,Rare (5.56%)
2887,Point Blank,Rare (5.56%)
2888,Fury,Rare (5.56%)
2889,50 Endo,Rare (5.56%)
2890,Rotation C,Rotation C
2891,Metal Auger,Rare (5.64%)
2892,Rime Rounds,Rare (5.64%)
2893,Scattering Inferno,Rare (5.64%)
2894,Ivara Chassis Blueprint,Rare (5.64%)
2895,Meso P11 Relic,Uncommon (11.06%)
2896,Meso H4 Relic,Uncommon (11.06%)
2897,Meso N14 Relic,Uncommon (11.06%)
2898,Meso P10 Relic,Uncommon (11.06%)
2899,Meso D7 Relic,Uncommon (11.06%)
2900,Meso K4 Relic,Uncommon (11.06%)
2901,Meso S12 Relic,Uncommon (11.06%)
2902,,
2903,Saturn/Cassini (Capture),Saturn/Cassini (Capture)
2904,Vitality,Uncommon (10.84%)
2905,Fast Deflection,Uncommon (10.84%)
2906,Rush,Uncommon (11.06%)
2907,Magazine Warp,Uncommon (10.84%)
2908,Trick Mag,Uncommon (10.84%)
2909,Pressure Point,Legendary (0.34%)
2910,Ammo Drum,Uncommon (11.06%)
2911,Fast Hands,Uncommon (10.84%)
2912,Quickdraw,Uncommon (10.84%)
2913,Health Restore (Large),Uncommon (10.84%)
2914,Omni Ammo Box,Legendary (0.34%)
2915,North Wind,Legendary (0.34%)
2916,Shocking Touch,Legendary (0.34%)
2917,Molten Impact,Legendary (0.34%)
2918,Stretch,Legendary (0.34%)
2919,,
2920,Saturn/Anthe (Rescue),Saturn/Anthe (Rescue)
2921,Rotation A,Rotation A
2922,Phase Specter Blueprint,Very Common (100.00%)
2923,Rotation B,Rotation B
2924,Force Specter Blueprint,Very Common (100.00%)
2925,Rotation C,Rotation C
2926,Cosmic Specter Blueprint,Very Common (100.00%)
2927,,
2928,Saturn/Numa (Rescue),Saturn/Numa (Rescue)
2929,Rotation A,Rotation A
2930,Vapor Specter Blueprint,Very Common (100.00%)
2931,Rotation B,Rotation B
2932,Phase Specter Blueprint,Very Common (100.00%)
2933,Rotation C,Rotation C
2934,Force Specter Blueprint,Very Common (100.00%)
2935,,
2936,Saturn/Calypso (Caches),Saturn/Calypso (Caches)
2937,Rotation A,Rotation A
2938,"5,000 Credits Cache",Very Common (100.00%)
2939,Rotation B,Rotation B
2940,400 Endo,Uncommon (12.65%)
2941,400 Endo,Uncommon (12.65%)
2942,400 Endo,Uncommon (12.65%)
2943,400 Endo,Uncommon (22.11%)
2944,400 Endo,Ultra Rare (1.01%)
2945,400 Endo,Ultra Rare (1.01%)
2946,300X Polymer Bundle,Uncommon (12.65%)
2947,350X Rubedo,Uncommon (12.65%)
2948,300X Plastids,Uncommon (12.65%)
2949,Rotation C,Rotation C
2950,600 Endo,Uncommon (15.10%)
2951,600 Endo,Uncommon (15.10%)
2952,600 Endo,Rare (4.40%)
2953,Orokin Cell,Uncommon (15.10%)
2954,Gallium,Uncommon (15.10%)
2955,Neurodes,Uncommon (15.10%)
2956,2X Orokin Cell,Rare (4.40%)
2957,2X Gallium,Rare (4.40%)
2958,2X Neurodes,Rare (4.40%)
2959,Tellurium,Rare (4.40%)
2960,Argon Crystal,Ultra Rare (1.00%)
2961,Nitain Extract,Ultra Rare (1.00%)
2962,Xiphos Engines Blueprint,Legendary (0.50%)
2963,,
2964,Saturn/Pandora (Pursuit),Saturn/Pandora (Pursuit)
2965,400 Endo,Rare (5.06%)
2966,400 Endo,Rare (3.16%)
2967,400 Endo,Ultra Rare (1.01%)
2968,400 Endo,Ultra Rare (1.01%)
2969,400 Endo,Rare (5.06%)
2970,Tempered Blade,Rare (5.06%)
2971,Sudden Impact,Rare (5.06%)
2972,Poisonous Sting,Rare (5.06%)
2973,Glacial Edge,Rare (5.06%)
2974,Conductive Blade,Rare (5.06%)
2975,Furor,Rare (5.06%)
2976,Extend,Rare (3.16%)
2977,Superior Defenses,Rare (3.16%)
2978,Cutting Edge,Rare (3.16%)
2979,System Reroute,Rare (3.16%)
2980,Efficient Transferral,Rare (3.16%)
2981,Blazing Steel,Rare (3.16%)
2982,Meso P11 Relic,Rare (5.06%)
2983,Meso H4 Relic,Rare (5.06%)
2984,Meso N14 Relic,Rare (5.06%)
2985,Meso P10 Relic,Rare (5.06%)
2986,Meso D7 Relic,Rare (5.06%)
2987,Meso K4 Relic,Rare (5.06%)
2988,Meso S12 Relic,Rare (5.06%)
2989,,
2990,Saturn/Cephalon Capture (Conclave),Saturn/Cephalon Capture (Conclave)
2991,Rotation A,Rotation A
2992,400 Endo,Rare (8.33%)
2993,Blind Shot,Rare (2.48%)
2994,Hydraulic Barrel,Rare (2.48%)
2995,Lucky Shot,Rare (2.48%)
2996,Hydraulic Gauge,Rare (2.48%)
2997,Hydraulic Chamber,Rare (2.48%)
2998,Feathered Arrows,Rare (2.48%)
2999,Heightened Reflexes,Rare (2.48%)
3000,Hastened Steps,Rare (2.48%)
3001,Adrenaline Boost,Rare (2.48%)
3002,Vital Systems Bypass,Rare (2.48%)
3003,Secondary Wind,Rare (2.48%)
3004,Deft Tempo,Rare (2.48%)
3005,Plan B,Rare (2.48%)
3006,Kill Switch,Rare (2.48%)
3007,Gorgon Frenzy,Rare (2.48%)
3008,Grinloked,Rare (2.48%)
3009,Double Tap,Rare (2.48%)
3010,Triple Tap,Rare (2.48%)
3011,Final Tap,Rare (2.48%)
3012,Directed Convergence,Rare (2.48%)
3013,Sudden Justice,Rare (2.48%)
3014,Focused Acceleration,Rare (2.48%)
3015,Measured Burst,Rare (2.48%)
3016,Heavy Warhead,Rare (2.48%)
3017,Final Act,Rare (2.48%)
3018,Tactical Retreat,Rare (2.48%)
3019,Mortal Conduct,Rare (2.48%)
3020,Soaring Strike,Rare (2.48%)
3021,Emergent Aftermath,Rare (2.48%)
3022,Static Alacrity,Rare (2.48%)
3023,Thundermiter,Rare (2.48%)
3024,Shrapnel Rounds,Rare (2.48%)
3025,Ambush Optics,Rare (2.48%)
3026,Skull Shots,Rare (2.48%)
3027,Brain Storm,Rare (2.48%)
3028,Draining Gloom,Rare (2.48%)
3029,Precision Munition,Rare (2.48%)
3030,Rotation B,Rotation B
3031,400X Alloy Plate,Uncommon (12.65%)
3032,600X Cryotic,Uncommon (12.65%)
3033,400X Ferrite,Uncommon (12.65%)
3034,500X Nano Spores,Uncommon (12.65%)
3035,500X Polymer Bundle,Uncommon (12.65%)
3036,600X Salvage,Uncommon (12.65%)
3037,100X Circuits,Rare (7.37%)
3038,120X Plastids,Rare (7.37%)
3039,100X Rubedo,Rare (7.37%)
3040,Argon Crystal,Legendary (0.25%)
3041,Control Module,Legendary (0.25%)
3042,Gallium,Legendary (0.25%)
3043,Morphics,Legendary (0.25%)
3044,Neural Sensors,Legendary (0.25%)
3045,Neurodes,Legendary (0.25%)
3046,Orokin Cell,Legendary (0.25%)
3047,Forma Blueprint,Legendary (0.25%)
3048,,
3049,Saturn/Cephalon Capture (Conclave) Extra,Saturn/Cephalon Capture (Conclave) Extra
3050,Rotation A,Rotation A
3051,400 Endo,Rare (8.33%)
3052,Blind Shot,Rare (2.48%)
3053,Hydraulic Barrel,Rare (2.48%)
3054,Lucky Shot,Rare (2.48%)
3055,Hydraulic Gauge,Rare (2.48%)
3056,Hydraulic Chamber,Rare (2.48%)
3057,Feathered Arrows,Rare (2.48%)
3058,Heightened Reflexes,Rare (2.48%)
3059,Hastened Steps,Rare (2.48%)
3060,Adrenaline Boost,Rare (2.48%)
3061,Vital Systems Bypass,Rare (2.48%)
3062,Secondary Wind,Rare (2.48%)
3063,Deft Tempo,Rare (2.48%)
3064,Plan B,Rare (2.48%)
3065,Kill Switch,Rare (2.48%)
3066,Gorgon Frenzy,Rare (2.48%)
3067,Grinloked,Rare (2.48%)
3068,Double Tap,Rare (2.48%)
3069,Triple Tap,Rare (2.48%)
3070,Final Tap,Rare (2.48%)
3071,Directed Convergence,Rare (2.48%)
3072,Sudden Justice,Rare (2.48%)
3073,Focused Acceleration,Rare (2.48%)
3074,Measured Burst,Rare (2.48%)
3075,Heavy Warhead,Rare (2.48%)
3076,Final Act,Rare (2.48%)
3077,Tactical Retreat,Rare (2.48%)
3078,Mortal Conduct,Rare (2.48%)
3079,Soaring Strike,Rare (2.48%)
3080,Emergent Aftermath,Rare (2.48%)
3081,Static Alacrity,Rare (2.48%)
3082,Thundermiter,Rare (2.48%)
3083,Shrapnel Rounds,Rare (2.48%)
3084,Ambush Optics,Rare (2.48%)
3085,Skull Shots,Rare (2.48%)
3086,Brain Storm,Rare (2.48%)
3087,Draining Gloom,Rare (2.48%)
3088,Precision Munition,Rare (2.48%)
3089,Rotation B,Rotation B
3090,400X Alloy Plate,Uncommon (12.65%)
3091,600X Cryotic,Uncommon (12.65%)
3092,400X Ferrite,Uncommon (12.65%)
3093,500X Nano Spores,Uncommon (12.65%)
3094,500X Polymer Bundle,Uncommon (12.65%)
3095,600X Salvage,Uncommon (12.65%)
3096,100X Circuits,Rare (7.37%)
3097,120X Plastids,Rare (7.37%)
3098,100X Rubedo,Rare (7.37%)
3099,Argon Crystal,Legendary (0.25%)
3100,Control Module,Legendary (0.25%)
3101,Gallium,Legendary (0.25%)
3102,Morphics,Legendary (0.25%)
3103,Neural Sensors,Legendary (0.25%)
3104,Neurodes,Legendary (0.25%)
3105,Orokin Cell,Legendary (0.25%)
3106,Forma Blueprint,Legendary (0.25%)
3107,,
3108,Saturn/Team Annihilation (Conclave),Saturn/Team Annihilation (Conclave)
3109,Rotation A,Rotation A
3110,400 Endo,Rare (8.33%)
3111,Blind Shot,Rare (2.48%)
3112,Hydraulic Barrel,Rare (2.48%)
3113,Lucky Shot,Rare (2.48%)
3114,Hydraulic Gauge,Rare (2.48%)
3115,Hydraulic Chamber,Rare (2.48%)
3116,Feathered Arrows,Rare (2.48%)
3117,Heightened Reflexes,Rare (2.48%)
3118,Hastened Steps,Rare (2.48%)
3119,Adrenaline Boost,Rare (2.48%)
3120,Vital Systems Bypass,Rare (2.48%)
3121,Secondary Wind,Rare (2.48%)
3122,Deft Tempo,Rare (2.48%)
3123,Plan B,Rare (2.48%)
3124,Kill Switch,Rare (2.48%)
3125,Gorgon Frenzy,Rare (2.48%)
3126,Grinloked,Rare (2.48%)
3127,Double Tap,Rare (2.48%)
3128,Triple Tap,Rare (2.48%)
3129,Final Tap,Rare (2.48%)
3130,Directed Convergence,Rare (2.48%)
3131,Sudden Justice,Rare (2.48%)
3132,Focused Acceleration,Rare (2.48%)
3133,Measured Burst,Rare (2.48%)
3134,Heavy Warhead,Rare (2.48%)
3135,Final Act,Rare (2.48%)
3136,Tactical Retreat,Rare (2.48%)
3137,Mortal Conduct,Rare (2.48%)
3138,Soaring Strike,Rare (2.48%)
3139,Emergent Aftermath,Rare (2.48%)
3140,Static Alacrity,Rare (2.48%)
3141,Thundermiter,Rare (2.48%)
3142,Shrapnel Rounds,Rare (2.48%)
3143,Ambush Optics,Rare (2.48%)
3144,Skull Shots,Rare (2.48%)
3145,Brain Storm,Rare (2.48%)
3146,Draining Gloom,Rare (2.48%)
3147,Precision Munition,Rare (2.48%)
3148,Rotation B,Rotation B
3149,400X Alloy Plate,Uncommon (12.65%)
3150,600X Cryotic,Uncommon (12.65%)
3151,400X Ferrite,Uncommon (12.65%)
3152,500X Nano Spores,Uncommon (12.65%)
3153,500X Polymer Bundle,Uncommon (12.65%)
3154,600X Salvage,Uncommon (12.65%)
3155,100X Circuits,Rare (7.37%)
3156,120X Plastids,Rare (7.37%)
3157,100X Rubedo,Rare (7.37%)
3158,Argon Crystal,Legendary (0.25%)
3159,Control Module,Legendary (0.25%)
3160,Gallium,Legendary (0.25%)
3161,Morphics,Legendary (0.25%)
3162,Neural Sensors,Legendary (0.25%)
3163,Neurodes,Legendary (0.25%)
3164,Orokin Cell,Legendary (0.25%)
3165,Forma Blueprint,Legendary (0.25%)
3166,,
3167,Saturn/Team Annihilation (Conclave) Extra,Saturn/Team Annihilation (Conclave) Extra
3168,Rotation A,Rotation A
3169,400 Endo,Rare (8.33%)
3170,Blind Shot,Rare (2.48%)
3171,Hydraulic Barrel,Rare (2.48%)
3172,Lucky Shot,Rare (2.48%)
3173,Hydraulic Gauge,Rare (2.48%)
3174,Hydraulic Chamber,Rare (2.48%)
3175,Feathered Arrows,Rare (2.48%)
3176,Heightened Reflexes,Rare (2.48%)
3177,Hastened Steps,Rare (2.48%)
3178,Adrenaline Boost,Rare (2.48%)
3179,Vital Systems Bypass,Rare (2.48%)
3180,Secondary Wind,Rare (2.48%)
3181,Deft Tempo,Rare (2.48%)
3182,Plan B,Rare (2.48%)
3183,Kill Switch,Rare (2.48%)
3184,Gorgon Frenzy,Rare (2.48%)
3185,Grinloked,Rare (2.48%)
3186,Double Tap,Rare (2.48%)
3187,Triple Tap,Rare (2.48%)
3188,Final Tap,Rare (2.48%)
3189,Directed Convergence,Rare (2.48%)
3190,Sudden Justice,Rare (2.48%)
3191,Focused Acceleration,Rare (2.48%)
3192,Measured Burst,Rare (2.48%)
3193,Heavy Warhead,Rare (2.48%)
3194,Final Act,Rare (2.48%)
3195,Tactical Retreat,Rare (2.48%)
3196,Mortal Conduct,Rare (2.48%)
3197,Soaring Strike,Rare (2.48%)
3198,Emergent Aftermath,Rare (2.48%)
3199,Static Alacrity,Rare (2.48%)
3200,Thundermiter,Rare (2.48%)
3201,Shrapnel Rounds,Rare (2.48%)
3202,Ambush Optics,Rare (2.48%)
3203,Skull Shots,Rare (2.48%)
3204,Brain Storm,Rare (2.48%)
3205,Draining Gloom,Rare (2.48%)
3206,Precision Munition,Rare (2.48%)
3207,Rotation B,Rotation B
3208,400X Alloy Plate,Uncommon (12.65%)
3209,600X Cryotic,Uncommon (12.65%)
3210,400X Ferrite,Uncommon (12.65%)
3211,500X Nano Spores,Uncommon (12.65%)
3212,500X Polymer Bundle,Uncommon (12.65%)
3213,600X Salvage,Uncommon (12.65%)
3214,100X Circuits,Rare (7.37%)
3215,120X Plastids,Rare (7.37%)
3216,100X Rubedo,Rare (7.37%)
3217,Argon Crystal,Legendary (0.25%)
3218,Control Module,Legendary (0.25%)
3219,Gallium,Legendary (0.25%)
3220,Morphics,Legendary (0.25%)
3221,Neural Sensors,Legendary (0.25%)
3222,Neurodes,Legendary (0.25%)
3223,Orokin Cell,Legendary (0.25%)
3224,Forma Blueprint,Legendary (0.25%)
3225,,
3226,Saturn/Annihilation (Conclave),Saturn/Annihilation (Conclave)
3227,Rotation A,Rotation A
3228,400 Endo,Rare (8.33%)
3229,Blind Shot,Rare (2.48%)
3230,Hydraulic Barrel,Rare (2.48%)
3231,Lucky Shot,Rare (2.48%)
3232,Hydraulic Gauge,Rare (2.48%)
3233,Hydraulic Chamber,Rare (2.48%)
3234,Feathered Arrows,Rare (2.48%)
3235,Heightened Reflexes,Rare (2.48%)
3236,Hastened Steps,Rare (2.48%)
3237,Adrenaline Boost,Rare (2.48%)
3238,Vital Systems Bypass,Rare (2.48%)
3239,Secondary Wind,Rare (2.48%)
3240,Deft Tempo,Rare (2.48%)
3241,Plan B,Rare (2.48%)
3242,Kill Switch,Rare (2.48%)
3243,Gorgon Frenzy,Rare (2.48%)
3244,Grinloked,Rare (2.48%)
3245,Double Tap,Rare (2.48%)
3246,Triple Tap,Rare (2.48%)
3247,Final Tap,Rare (2.48%)
3248,Directed Convergence,Rare (2.48%)
3249,Sudden Justice,Rare (2.48%)
3250,Focused Acceleration,Rare (2.48%)
3251,Measured Burst,Rare (2.48%)
3252,Heavy Warhead,Rare (2.48%)
3253,Final Act,Rare (2.48%)
3254,Tactical Retreat,Rare (2.48%)
3255,Mortal Conduct,Rare (2.48%)
3256,Soaring Strike,Rare (2.48%)
3257,Emergent Aftermath,Rare (2.48%)
3258,Static Alacrity,Rare (2.48%)
3259,Thundermiter,Rare (2.48%)
3260,Shrapnel Rounds,Rare (2.48%)
3261,Ambush Optics,Rare (2.48%)
3262,Skull Shots,Rare (2.48%)
3263,Brain Storm,Rare (2.48%)
3264,Precision Munition,Rare (2.48%)
3265,Draining Gloom,Rare (2.48%)
3266,Rotation B,Rotation B
3267,400X Alloy Plate,Uncommon (12.65%)
3268,600X Cryotic,Uncommon (12.65%)
3269,400X Ferrite,Uncommon (12.65%)
3270,500X Nano Spores,Uncommon (12.65%)
3271,500X Polymer Bundle,Uncommon (12.65%)
3272,600X Salvage,Uncommon (12.65%)
3273,100X Circuits,Rare (7.37%)
3274,120X Plastids,Rare (7.37%)
3275,100X Rubedo,Rare (7.37%)
3276,Argon Crystal,Legendary (0.25%)
3277,Control Module,Legendary (0.25%)
3278,Gallium,Legendary (0.25%)
3279,Morphics,Legendary (0.25%)
3280,Neural Sensors,Legendary (0.25%)
3281,Neurodes,Legendary (0.25%)
3282,Orokin Cell,Legendary (0.25%)
3283,Forma Blueprint,Legendary (0.25%)
3284,,
3285,Saturn/Annihilation (Conclave) Extra,Saturn/Annihilation (Conclave) Extra
3286,Rotation A,Rotation A
3287,400 Endo,Rare (8.33%)
3288,Blind Shot,Rare (2.48%)
3289,Hydraulic Barrel,Rare (2.48%)
3290,Lucky Shot,Rare (2.48%)
3291,Hydraulic Gauge,Rare (2.48%)
3292,Hydraulic Chamber,Rare (2.48%)
3293,Feathered Arrows,Rare (2.48%)
3294,Heightened Reflexes,Rare (2.48%)
