,Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
3876,Mag Prime Neuroptics Blueprint,Uncommon (25.33%)
3877,Boar Prime Barrel,Uncommon (11.00%)
3878,,
3879,Axi V2 Relic (Exceptional),Axi V2 Relic (Exceptional)
3880,Vectis Prime Stock,Rare (4.00%)
3881,Hikou Prime Pouch,Uncommon (23.33%)
3882,Braton Prime Receiver,Uncommon (13.00%)
3883,Trinity Prime Systems Blueprint,Uncommon (23.33%)
3884,Mag Prime Neuroptics Blueprint,Uncommon (23.33%)
3885,Boar Prime Barrel,Uncommon (13.00%)
3886,,
3887,Axi V2 Relic (Flawless),Axi V2 Relic (Flawless)
3888,Vectis Prime Stock,Rare (6.00%)
3889,Hikou Prime Pouch,Uncommon (20.00%)
3890,Braton Prime Receiver,Uncommon (17.00%)
3891,Trinity Prime Systems Blueprint,Uncommon (20.00%)
3892,Mag Prime Neuroptics Blueprint,Uncommon (20.00%)
3893,Boar Prime Barrel,Uncommon (17.00%)
3894,,
3895,Axi V2 Relic (Radiant),Axi V2 Relic (Radiant)
3896,Vectis Prime Stock,Uncommon (10.00%)
3897,Hikou Prime Pouch,Uncommon (16.67%)
3898,Braton Prime Receiver,Uncommon (20.00%)
3899,Trinity Prime Systems Blueprint,Uncommon (16.67%)
3900,Mag Prime Neuroptics Blueprint,Uncommon (16.67%)
3901,Boar Prime Barrel,Uncommon (20.00%)
3902,,
3903,Axi V3 Relic (Intact),Axi V3 Relic (Intact)
3904,Vectis Prime Stock,Rare (2.00%)
3905,Orthos Prime Blueprint,Uncommon (11.00%)
3906,Braton Prime Receiver,Uncommon (11.00%)
3907,Trinity Prime Neuroptics Blueprint,Uncommon (25.33%)
3908,Vasto Prime Barrel,Uncommon (25.33%)
3909,Trinity Prime Systems Blueprint,Uncommon (25.33%)
3910,,
3911,Axi V3 Relic (Exceptional),Axi V3 Relic (Exceptional)
3912,Vectis Prime Stock,Rare (4.00%)
3913,Orthos Prime Blueprint,Uncommon (13.00%)
3914,Braton Prime Receiver,Uncommon (13.00%)
3915,Trinity Prime Neuroptics Blueprint,Uncommon (23.33%)
3916,Vasto Prime Barrel,Uncommon (23.33%)
3917,Trinity Prime Systems Blueprint,Uncommon (23.33%)
3918,,
3919,Axi V3 Relic (Flawless),Axi V3 Relic (Flawless)
3920,Vectis Prime Stock,Rare (6.00%)
3921,Orthos Prime Blueprint,Uncommon (17.00%)
3922,Braton Prime Receiver,Uncommon (17.00%)
3923,Trinity Prime Neuroptics Blueprint,Uncommon (20.00%)
3924,Vasto Prime Barrel,Uncommon (20.00%)
3925,Trinity Prime Systems Blueprint,Uncommon (20.00%)
3926,,
3927,Axi V3 Relic (Radiant),Axi V3 Relic (Radiant)
3928,Vectis Prime Stock,Uncommon (10.00%)
3929,Orthos Prime Blueprint,Uncommon (20.00%)
3930,Braton Prime Receiver,Uncommon (20.00%)
3931,Trinity Prime Neuroptics Blueprint,Uncommon (16.67%)
3932,Vasto Prime Barrel,Uncommon (16.67%)
3933,Trinity Prime Systems Blueprint,Uncommon (16.67%)
3934,,
3935,Axi V4 Relic (Intact),Axi V4 Relic (Intact)
3936,Vectis Prime Stock,Rare (2.00%)
3937,Cernos Prime Blueprint,Uncommon (11.00%)
3938,Forma Blueprint,Uncommon (11.00%)
3939,Paris Prime Blueprint,Uncommon (25.33%)
3940,Trinity Prime Systems Blueprint,Uncommon (25.33%)
3941,Odonata Prime Harness Blueprint,Uncommon (25.33%)
3942,,
3943,Axi V4 Relic (Exceptional),Axi V4 Relic (Exceptional)
3944,Vectis Prime Stock,Rare (4.00%)
3945,Cernos Prime Blueprint,Uncommon (13.00%)
3946,Forma Blueprint,Uncommon (13.00%)
3947,Paris Prime Blueprint,Uncommon (23.33%)
3948,Trinity Prime Systems Blueprint,Uncommon (23.33%)
3949,Odonata Prime Harness Blueprint,Uncommon (23.33%)
3950,,
3951,Axi V4 Relic (Flawless),Axi V4 Relic (Flawless)
3952,Vectis Prime Stock,Rare (6.00%)
3953,Cernos Prime Blueprint,Uncommon (17.00%)
3954,Forma Blueprint,Uncommon (17.00%)
3955,Paris Prime Blueprint,Uncommon (20.00%)
3956,Trinity Prime Systems Blueprint,Uncommon (20.00%)
3957,Odonata Prime Harness Blueprint,Uncommon (20.00%)
3958,,
3959,Axi V4 Relic (Radiant),Axi V4 Relic (Radiant)
3960,Vectis Prime Stock,Uncommon (10.00%)
3961,Cernos Prime Blueprint,Uncommon (20.00%)
3962,Forma Blueprint,Uncommon (20.00%)
3963,Paris Prime Blueprint,Uncommon (16.67%)
3964,Trinity Prime Systems Blueprint,Uncommon (16.67%)
3965,Odonata Prime Harness Blueprint,Uncommon (16.67%)
3966,,
3967,Axi V5 Relic (Intact),Axi V5 Relic (Intact)
3968,Valkyr Prime Chassis Blueprint,Rare (2.00%)
3969,Braton Prime Receiver,Uncommon (11.00%)
3970,Tigris Prime Receiver,Uncommon (11.00%)
3971,Venka Prime Blades,Uncommon (25.33%)
3972,Dual Kamas Prime Blueprint,Uncommon (25.33%)
3973,Forma Blueprint,Uncommon (25.33%)
3974,,
3975,Axi V5 Relic (Exceptional),Axi V5 Relic (Exceptional)
3976,Valkyr Prime Chassis Blueprint,Rare (4.00%)
3977,Braton Prime Receiver,Uncommon (13.00%)
3978,Tigris Prime Receiver,Uncommon (13.00%)
3979,Venka Prime Blades,Uncommon (23.33%)
3980,Dual Kamas Prime Blueprint,Uncommon (23.33%)
3981,Forma Blueprint,Uncommon (23.33%)
3982,,
3983,Axi V5 Relic (Flawless),Axi V5 Relic (Flawless)
3984,Valkyr Prime Chassis Blueprint,Rare (6.00%)
3985,Braton Prime Receiver,Uncommon (17.00%)
3986,Tigris Prime Receiver,Uncommon (17.00%)
3987,Venka Prime Blades,Uncommon (20.00%)
3988,Dual Kamas Prime Blueprint,Uncommon (20.00%)
3989,Forma Blueprint,Uncommon (20.00%)
3990,,
3991,Axi V5 Relic (Radiant),Axi V5 Relic (Radiant)
3992,Valkyr Prime Chassis Blueprint,Uncommon (10.00%)
3993,Braton Prime Receiver,Uncommon (20.00%)
3994,Tigris Prime Receiver,Uncommon (20.00%)
3995,Venka Prime Blades,Uncommon (16.67%)
3996,Dual Kamas Prime Blueprint,Uncommon (16.67%)
3997,Forma Blueprint,Uncommon (16.67%)
3998,,
3999,Axi V6 Relic (Intact),Axi V6 Relic (Intact)
4000,Valkyr Prime Chassis Blueprint,Rare (2.00%)
4001,Fang Prime Handle,Uncommon (11.00%)
4002,Galatine Prime Handle,Uncommon (11.00%)
4003,Braton Prime Blueprint,Uncommon (25.33%)
4004,Ballistica Prime Lower Limb,Uncommon (25.33%)
4005,Forma Blueprint,Uncommon (25.33%)
4006,,
4007,Axi V6 Relic (Exceptional),Axi V6 Relic (Exceptional)
4008,Valkyr Prime Chassis Blueprint,Rare (4.00%)
4009,Fang Prime Handle,Uncommon (13.00%)
4010,Galatine Prime Handle,Uncommon (13.00%)
4011,Braton Prime Blueprint,Uncommon (23.33%)
4012,Ballistica Prime Lower Limb,Uncommon (23.33%)
4013,Forma Blueprint,Uncommon (23.33%)
4014,,
4015,Axi V6 Relic (Flawless),Axi V6 Relic (Flawless)
4016,Valkyr Prime Chassis Blueprint,Rare (6.00%)
4017,Fang Prime Handle,Uncommon (17.00%)
4018,Galatine Prime Handle,Uncommon (17.00%)
4019,Braton Prime Blueprint,Uncommon (20.00%)
4020,Ballistica Prime Lower Limb,Uncommon (20.00%)
4021,Forma Blueprint,Uncommon (20.00%)
4022,,
4023,Axi V6 Relic (Radiant),Axi V6 Relic (Radiant)
4024,Valkyr Prime Chassis Blueprint,Uncommon (10.00%)
4025,Fang Prime Handle,Uncommon (20.00%)
4026,Galatine Prime Handle,Uncommon (20.00%)
4027,Braton Prime Blueprint,Uncommon (16.67%)
4028,Ballistica Prime Lower Limb,Uncommon (16.67%)
4029,Forma Blueprint,Uncommon (16.67%)
4030,,
4031,Axi V7 Relic (Intact),Axi V7 Relic (Intact)
4032,Venka Prime Gauntlet,Rare (2.00%)
4033,Kogake Prime Blueprint,Uncommon (11.00%)
4034,Silva & Aegis Prime Blueprint,Uncommon (11.00%)
4035,Nami Skyla Prime Blueprint,Uncommon (25.33%)
4036,Lex Prime Barrel,Uncommon (25.33%)
4037,Valkyr Prime Blueprint,Uncommon (25.33%)
4038,,
4039,Axi V7 Relic (Exceptional),Axi V7 Relic (Exceptional)
4040,Venka Prime Gauntlet,Rare (4.00%)
4041,Kogake Prime Blueprint,Uncommon (13.00%)
4042,Silva & Aegis Prime Blueprint,Uncommon (13.00%)
4043,Nami Skyla Prime Blueprint,Uncommon (23.33%)
4044,Lex Prime Barrel,Uncommon (23.33%)
4045,Valkyr Prime Blueprint,Uncommon (23.33%)
4046,,
4047,Axi V7 Relic (Flawless),Axi V7 Relic (Flawless)
4048,Venka Prime Gauntlet,Rare (6.00%)
4049,Kogake Prime Blueprint,Uncommon (17.00%)
4050,Silva & Aegis Prime Blueprint,Uncommon (17.00%)
4051,Nami Skyla Prime Blueprint,Uncommon (20.00%)
4052,Lex Prime Barrel,Uncommon (20.00%)
4053,Valkyr Prime Blueprint,Uncommon (20.00%)
4054,,
4055,Axi V7 Relic (Radiant),Axi V7 Relic (Radiant)
4056,Venka Prime Gauntlet,Uncommon (10.00%)
4057,Kogake Prime Blueprint,Uncommon (20.00%)
4058,Silva & Aegis Prime Blueprint,Uncommon (20.00%)
4059,Nami Skyla Prime Blueprint,Uncommon (16.67%)
4060,Lex Prime Barrel,Uncommon (16.67%)
4061,Valkyr Prime Blueprint,Uncommon (16.67%)
4062,,
4063,Axi V8 Relic (Intact),Axi V8 Relic (Intact)
4064,Volt Prime Neuroptics Blueprint,Rare (2.00%)
4065,Volt Prime Chassis Blueprint,Uncommon (11.00%)
4066,Odonata Prime Blueprint,Uncommon (11.00%)
4067,Odonata Prime Systems Blueprint,Uncommon (25.33%)
4068,Forma Blueprint,Uncommon (25.33%)
4069,Lex Prime Receiver,Uncommon (25.33%)
4070,,
4071,Axi V8 Relic (Exceptional),Axi V8 Relic (Exceptional)
4072,Volt Prime Neuroptics Blueprint,Rare (4.00%)
4073,Volt Prime Chassis Blueprint,Uncommon (13.00%)
4074,Odonata Prime Blueprint,Uncommon (13.00%)
4075,Odonata Prime Systems Blueprint,Uncommon (23.33%)
4076,Forma Blueprint,Uncommon (23.33%)
4077,Lex Prime Receiver,Uncommon (23.33%)
4078,,
4079,Axi V8 Relic (Flawless),Axi V8 Relic (Flawless)
4080,Volt Prime Neuroptics Blueprint,Rare (6.00%)
4081,Volt Prime Chassis Blueprint,Uncommon (17.00%)
4082,Odonata Prime Blueprint,Uncommon (17.00%)
4083,Odonata Prime Systems Blueprint,Uncommon (20.00%)
4084,Forma Blueprint,Uncommon (20.00%)
4085,Lex Prime Receiver,Uncommon (20.00%)
4086,,
4087,Axi V8 Relic (Radiant),Axi V8 Relic (Radiant)
4088,Volt Prime Neuroptics Blueprint,Uncommon (10.00%)
4089,Volt Prime Chassis Blueprint,Uncommon (20.00%)
4090,Odonata Prime Blueprint,Uncommon (20.00%)
4091,Odonata Prime Systems Blueprint,Uncommon (16.67%)
4092,Forma Blueprint,Uncommon (16.67%)
4093,Lex Prime Receiver,Uncommon (16.67%)
4094,,
4095,Axi V9 Relic (Intact),Axi V9 Relic (Intact)
4096,Venka Prime Gauntlet,Rare (2.00%)
4097,Valkyr Prime Systems Blueprint,Uncommon (11.00%)
4098,Spira Prime Blade,Uncommon (11.00%)
4099,Valkyr Prime Blueprint,Uncommon (25.33%)
4100,Saryn Prime Neuroptics Blueprint,Uncommon (25.33%)
4101,Forma Blueprint,Uncommon (25.33%)
4102,,
4103,Axi V9 Relic (Exceptional),Axi V9 Relic (Exceptional)
4104,Venka Prime Gauntlet,Rare (4.00%)
4105,Valkyr Prime Systems Blueprint,Uncommon (13.00%)
4106,Spira Prime Blade,Uncommon (13.00%)
4107,Valkyr Prime Blueprint,Uncommon (23.33%)
4108,Saryn Prime Neuroptics Blueprint,Uncommon (23.33%)
4109,Forma Blueprint,Uncommon (23.33%)
4110,,
4111,Axi V9 Relic (Flawless),Axi V9 Relic (Flawless)
4112,Venka Prime Gauntlet,Rare (6.00%)
4113,Valkyr Prime Systems Blueprint,Uncommon (17.00%)
4114,Spira Prime Blade,Uncommon (17.00%)
4115,Valkyr Prime Blueprint,Uncommon (20.00%)
4116,Saryn Prime Neuroptics Blueprint,Uncommon (20.00%)
4117,Forma Blueprint,Uncommon (20.00%)
4118,,
4119,Axi V9 Relic (Radiant),Axi V9 Relic (Radiant)
4120,Venka Prime Gauntlet,Uncommon (10.00%)
4121,Valkyr Prime Systems Blueprint,Uncommon (20.00%)
4122,Spira Prime Blade,Uncommon (20.00%)
4123,Valkyr Prime Blueprint,Uncommon (16.67%)
4124,Saryn Prime Neuroptics Blueprint,Uncommon (16.67%)
4125,Forma Blueprint,Uncommon (16.67%)
4126,,
4127,Axi W1 Relic (Intact),Axi W1 Relic (Intact)
4128,Wukong Prime Blueprint,Rare (2.00%)
4129,Inaros Prime Blueprint,Uncommon (11.00%)
4130,Forma Blueprint,Uncommon (11.00%)
4131,Aksomati Prime Receiver,Uncommon (25.33%)
4132,Stradavar Prime Receiver,Uncommon (25.33%)
4133,Bronco Prime Receiver,Uncommon (25.33%)
4134,,
4135,Axi W1 Relic (Exceptional),Axi W1 Relic (Exceptional)
4136,Wukong Prime Blueprint,Rare (4.00%)
4137,Inaros Prime Blueprint,Uncommon (13.00%)
4138,Forma Blueprint,Uncommon (13.00%)
4139,Aksomati Prime Receiver,Uncommon (23.33%)
4140,Stradavar Prime Receiver,Uncommon (23.33%)
4141,Bronco Prime Receiver,Uncommon (23.33%)
4142,,
4143,Axi W1 Relic (Flawless),Axi W1 Relic (Flawless)
4144,Wukong Prime Blueprint,Rare (6.00%)
4145,Inaros Prime Blueprint,Uncommon (17.00%)
4146,Forma Blueprint,Uncommon (17.00%)
4147,Aksomati Prime Receiver,Uncommon (20.00%)
4148,Stradavar Prime Receiver,Uncommon (20.00%)
4149,Bronco Prime Receiver,Uncommon (20.00%)
4150,,
4151,Axi W1 Relic (Radiant),Axi W1 Relic (Radiant)
4152,Wukong Prime Blueprint,Uncommon (10.00%)
4153,Inaros Prime Blueprint,Uncommon (20.00%)
4154,Forma Blueprint,Uncommon (20.00%)
4155,Aksomati Prime Receiver,Uncommon (16.67%)
4156,Stradavar Prime Receiver,Uncommon (16.67%)
4157,Bronco Prime Receiver,Uncommon (16.67%)
4158,,
4159,Axi W2 Relic (Intact),Axi W2 Relic (Intact)
4160,Wukong Prime Blueprint,Rare (2.00%)
4161,Bronco Prime Barrel,Uncommon (11.00%)
4162,Inaros Prime Blueprint,Uncommon (11.00%)
4163,Baza Prime Receiver,Uncommon (25.33%)
4164,Forma Blueprint,Uncommon (25.33%)
4165,Tekko Prime Gauntlet,Uncommon (25.33%)
4166,,
4167,Axi W2 Relic (Exceptional),Axi W2 Relic (Exceptional)
4168,Wukong Prime Blueprint,Rare (4.00%)
4169,Bronco Prime Barrel,Uncommon (13.00%)
4170,Inaros Prime Blueprint,Uncommon (13.00%)
4171,Baza Prime Receiver,Uncommon (23.33%)
4172,Forma Blueprint,Uncommon (23.33%)
4173,Tekko Prime Gauntlet,Uncommon (23.33%)
4174,,
4175,Axi W2 Relic (Flawless),Axi W2 Relic (Flawless)
4176,Wukong Prime Blueprint,Rare (6.00%)
4177,Bronco Prime Barrel,Uncommon (17.00%)
4178,Inaros Prime Blueprint,Uncommon (17.00%)
4179,Baza Prime Receiver,Uncommon (20.00%)
4180,Forma Blueprint,Uncommon (20.00%)
4181,Tekko Prime Gauntlet,Uncommon (20.00%)
4182,,
4183,Axi W2 Relic (Radiant),Axi W2 Relic (Radiant)
4184,Wukong Prime Blueprint,Uncommon (10.00%)
4185,Bronco Prime Barrel,Uncommon (20.00%)
4186,Inaros Prime Blueprint,Uncommon (20.00%)
4187,Baza Prime Receiver,Uncommon (16.67%)
4188,Forma Blueprint,Uncommon (16.67%)
4189,Tekko Prime Gauntlet,Uncommon (16.67%)
4190,,
4191,Axi Z1 Relic (Intact),Axi Z1 Relic (Intact)
4192,Zakti Prime Blueprint,Rare (2.00%)
4193,Baza Prime Barrel,Uncommon (11.00%)
4194,Zhuge Prime Blueprint,Uncommon (11.00%)
4195,Wukong Prime Neuroptics Blueprint,Uncommon (25.33%)
4196,Forma Blueprint,Uncommon (25.33%)
4197,Panthera Prime Blueprint,Uncommon (25.33%)
4198,,
4199,Axi Z1 Relic (Exceptional),Axi Z1 Relic (Exceptional)
4200,Zakti Prime Blueprint,Rare (4.00%)
4201,Baza Prime Barrel,Uncommon (13.00%)
4202,Zhuge Prime Blueprint,Uncommon (13.00%)
4203,Wukong Prime Neuroptics Blueprint,Uncommon (23.33%)
4204,Forma Blueprint,Uncommon (23.33%)
4205,Panthera Prime Blueprint,Uncommon (23.33%)
4206,,
4207,Axi Z1 Relic (Flawless),Axi Z1 Relic (Flawless)
4208,Zakti Prime Blueprint,Rare (6.00%)
4209,Baza Prime Barrel,Uncommon (17.00%)
4210,Zhuge Prime Blueprint,Uncommon (17.00%)
4211,Wukong Prime Neuroptics Blueprint,Uncommon (20.00%)
4212,Forma Blueprint,Uncommon (20.00%)
4213,Panthera Prime Blueprint,Uncommon (20.00%)
4214,,
4215,Axi Z1 Relic (Radiant),Axi Z1 Relic (Radiant)
4216,Zakti Prime Blueprint,Uncommon (10.00%)
4217,Baza Prime Barrel,Uncommon (20.00%)
4218,Zhuge Prime Blueprint,Uncommon (20.00%)
4219,Wukong Prime Neuroptics Blueprint,Uncommon (16.67%)
4220,Forma Blueprint,Uncommon (16.67%)
4221,Panthera Prime Blueprint,Uncommon (16.67%)
4222,,
4223,Lith A1 Relic (Intact),Lith A1 Relic (Intact)
4224,Saryn Prime Neuroptics Blueprint,Uncommon (11.00%)
4225,Vectis Prime Blueprint,Uncommon (11.00%)
4226,Braton Prime Barrel,Uncommon (25.33%)
4227,Akstiletto Prime Blueprint,Rare (2.00%)
4228,Forma Blueprint,Uncommon (25.33%)
4229,Vasto Prime Receiver,Uncommon (25.33%)
4230,,
4231,Lith A1 Relic (Exceptional),Lith A1 Relic (Exceptional)
4232,Saryn Prime Neuroptics Blueprint,Uncommon (13.00%)
4233,Vectis Prime Blueprint,Uncommon (13.00%)
4234,Braton Prime Barrel,Uncommon (23.33%)
4235,Akstiletto Prime Blueprint,Rare (4.00%)
4236,Forma Blueprint,Uncommon (23.33%)
4237,Vasto Prime Receiver,Uncommon (23.33%)
4238,,
4239,Lith A1 Relic (Flawless),Lith A1 Relic (Flawless)
4240,Saryn Prime Neuroptics Blueprint,Uncommon (17.00%)
4241,Vectis Prime Blueprint,Uncommon (17.00%)
4242,Braton Prime Barrel,Uncommon (20.00%)
4243,Akstiletto Prime Blueprint,Rare (6.00%)
4244,Forma Blueprint,Uncommon (20.00%)
4245,Vasto Prime Receiver,Uncommon (20.00%)
4246,,
4247,Lith A1 Relic (Radiant),Lith A1 Relic (Radiant)
4248,Saryn Prime Neuroptics Blueprint,Uncommon (20.00%)
4249,Vectis Prime Blueprint,Uncommon (20.00%)
4250,Braton Prime Barrel,Uncommon (16.67%)
4251,Akstiletto Prime Blueprint,Uncommon (10.00%)
4252,Forma Blueprint,Uncommon (16.67%)
4253,Vasto Prime Receiver,Uncommon (16.67%)
4254,,
4255,Lith A2 Relic (Intact),Lith A2 Relic (Intact)
4256,Akstiletto Prime Blueprint,Rare (2.00%)
4257,Akbronco Prime Link,Uncommon (11.00%)
4258,Cernos Prime Blueprint,Uncommon (11.00%)
4259,Lex Prime Barrel,Uncommon (25.33%)
4260,Forma Blueprint,Uncommon (25.33%)
4261,Valkyr Prime Blueprint,Uncommon (25.33%)
4262,,
4263,Lith A2 Relic (Exceptional),Lith A2 Relic (Exceptional)
4264,Akstiletto Prime Blueprint,Rare (4.00%)
4265,Akbronco Prime Link,Uncommon (13.00%)
4266,Cernos Prime Blueprint,Uncommon (13.00%)
4267,Lex Prime Barrel,Uncommon (23.33%)
4268,Forma Blueprint,Uncommon (23.33%)
4269,Valkyr Prime Blueprint,Uncommon (23.33%)
4270,,
4271,Lith A2 Relic (Flawless),Lith A2 Relic (Flawless)
4272,Akstiletto Prime Blueprint,Rare (6.00%)
4273,Akbronco Prime Link,Uncommon (17.00%)
4274,Cernos Prime Blueprint,Uncommon (17.00%)
4275,Lex Prime Barrel,Uncommon (20.00%)
4276,Forma Blueprint,Uncommon (20.00%)
4277,Valkyr Prime Blueprint,Uncommon (20.00%)
4278,,
4279,Lith A2 Relic (Radiant),Lith A2 Relic (Radiant)
4280,Akstiletto Prime Blueprint,Uncommon (10.00%)
4281,Akbronco Prime Link,Uncommon (20.00%)
4282,Cernos Prime Blueprint,Uncommon (20.00%)
4283,Lex Prime Barrel,Uncommon (16.67%)
4284,Forma Blueprint,Uncommon (16.67%)
4285,Valkyr Prime Blueprint,Uncommon (16.67%)
4286,,
4287,Lith A3 Relic (Intact),Lith A3 Relic (Intact)
4288,Akjagara Prime Barrel,Rare (2.00%)
4289,Akbolto Prime Barrel,Uncommon (11.00%)
4290,Tiberon Prime Blueprint,Uncommon (11.00%)
4291,Rubico Prime Receiver,Uncommon (25.33%)
4292,Orthos Prime Handle,Uncommon (25.33%)
4293,Lex Prime Blueprint,Uncommon (25.33%)
4294,,
4295,Lith A3 Relic (Exceptional),Lith A3 Relic (Exceptional)
4296,Akjagara Prime Barrel,Rare (4.00%)
4297,Akbolto Prime Barrel,Uncommon (13.00%)
4298,Tiberon Prime Blueprint,Uncommon (13.00%)
4299,Rubico Prime Receiver,Uncommon (23.33%)
4300,Orthos Prime Handle,Uncommon (23.33%)
4301,Lex Prime Blueprint,Uncommon (23.33%)
4302,,
4303,Lith A3 Relic (Flawless),Lith A3 Relic (Flawless)
4304,Akjagara Prime Barrel,Rare (6.00%)
4305,Akbolto Prime Barrel,Uncommon (17.00%)
4306,Tiberon Prime Blueprint,Uncommon (17.00%)
4307,Rubico Prime Receiver,Uncommon (20.00%)
4308,Orthos Prime Handle,Uncommon (20.00%)
4309,Lex Prime Blueprint,Uncommon (20.00%)
4310,,
4311,Lith A3 Relic (Radiant),Lith A3 Relic (Radiant)
4312,Akjagara Prime Barrel,Uncommon (10.00%)
4313,Akbolto Prime Barrel,Uncommon (20.00%)
4314,Tiberon Prime Blueprint,Uncommon (20.00%)
4315,Rubico Prime Receiver,Uncommon (16.67%)
4316,Orthos Prime Handle,Uncommon (16.67%)
4317,Lex Prime Blueprint,Uncommon (16.67%)
4318,,
4319,Lith A4 Relic (Intact),Lith A4 Relic (Intact)
4320,Astilla Prime Barrel,Rare (2.00%)
4321,Ivara Prime Systems Blueprint,Uncommon (11.00%)
4322,Baza Prime Barrel,Uncommon (11.00%)
4323,Corinth Prime Blueprint,Uncommon (25.33%)
4324,Burston Prime Receiver,Uncommon (25.33%)
4325,Forma Blueprint,Uncommon (25.33%)
4326,,
4327,Lith A4 Relic (Exceptional),Lith A4 Relic (Exceptional)
4328,Astilla Prime Barrel,Rare (4.00%)
4329,Ivara Prime Systems Blueprint,Uncommon (13.00%)
4330,Baza Prime Barrel,Uncommon (13.00%)
4331,Corinth Prime Blueprint,Uncommon (23.33%)
4332,Burston Prime Receiver,Uncommon (23.33%)
4333,Forma Blueprint,Uncommon (23.33%)
4334,,
4335,Lith A4 Relic (Flawless),Lith A4 Relic (Flawless)
4336,Astilla Prime Barrel,Rare (6.00%)
4337,Ivara Prime Systems Blueprint,Uncommon (17.00%)
4338,Baza Prime Barrel,Uncommon (17.00%)
4339,Corinth Prime Blueprint,Uncommon (20.00%)
4340,Burston Prime Receiver,Uncommon (20.00%)
4341,Forma Blueprint,Uncommon (20.00%)
4342,,
4343,Lith A4 Relic (Radiant),Lith A4 Relic (Radiant)
4344,Astilla Prime Barrel,Uncommon (10.00%)
4345,Ivara Prime Systems Blueprint,Uncommon (20.00%)
4346,Baza Prime Barrel,Uncommon (20.00%)
4347,Corinth Prime Blueprint,Uncommon (16.67%)
4348,Burston Prime Receiver,Uncommon (16.67%)
4349,Forma Blueprint,Uncommon (16.67%)
4350,,
4351,Lith A5 Relic (Intact),Lith A5 Relic (Intact)
4352,Atlas Prime Neuroptics Blueprint,Rare (2.00%)
4353,Akstiletto Prime Barrel,Uncommon (11.00%)
4354,Fang Prime Handle,Uncommon (11.00%)
4355,Tekko Prime Gauntlet,Uncommon (25.33%)
4356,Forma Blueprint,Uncommon (25.33%)
4357,Vasto Prime Barrel,Uncommon (25.33%)
4358,,
4359,Lith A5 Relic (Exceptional),Lith A5 Relic (Exceptional)
4360,Atlas Prime Neuroptics Blueprint,Rare (4.00%)
4361,Akstiletto Prime Barrel,Uncommon (13.00%)
4362,Fang Prime Handle,Uncommon (13.00%)
4363,Tekko Prime Gauntlet,Uncommon (23.33%)
4364,Forma Blueprint,Uncommon (23.33%)
4365,Vasto Prime Barrel,Uncommon (23.33%)
4366,,
4367,Lith A5 Relic (Flawless),Lith A5 Relic (Flawless)
4368,Atlas Prime Neuroptics Blueprint,Rare (6.00%)
4369,Akstiletto Prime Barrel,Uncommon (17.00%)
4370,Fang Prime Handle,Uncommon (17.00%)
4371,Tekko Prime Gauntlet,Uncommon (20.00%)
4372,Forma Blueprint,Uncommon (20.00%)
4373,Vasto Prime Barrel,Uncommon (20.00%)
4374,,
4375,Lith A5 Relic (Radiant),Lith A5 Relic (Radiant)
4376,Atlas Prime Neuroptics Blueprint,Uncommon (10.00%)
4377,Akstiletto Prime Barrel,Uncommon (20.00%)
4378,Fang Prime Handle,Uncommon (20.00%)
4379,Tekko Prime Gauntlet,Uncommon (16.67%)
4380,Forma Blueprint,Uncommon (16.67%)
4381,Vasto Prime Barrel,Uncommon (16.67%)
4382,,
4383,Lith B1 Relic (Intact),Lith B1 Relic (Intact)
4384,Boar Prime Stock,Rare (2.00%)
4385,Rhino Prime Neuroptics Blueprint,Uncommon (11.00%)
4386,Boltor Prime Receiver,Uncommon (11.00%)
4387,Mag Prime Neuroptics Blueprint,Uncommon (25.33%)
4388,Ankyros Prime Blueprint,Uncommon (25.33%)
4389,Forma Blueprint,Uncommon (25.33%)
4390,,
4391,Lith B1 Relic (Exceptional),Lith B1 Relic (Exceptional)
4392,Boar Prime Stock,Rare (4.00%)
4393,Rhino Prime Neuroptics Blueprint,Uncommon (13.00%)
4394,Boltor Prime Receiver,Uncommon (13.00%)
4395,Mag Prime Neuroptics Blueprint,Uncommon (23.33%)
4396,Ankyros Prime Blueprint,Uncommon (23.33%)
4397,Forma Blueprint,Uncommon (23.33%)
4398,,
4399,Lith B1 Relic (Flawless),Lith B1 Relic (Flawless)
4400,Boar Prime Stock,Rare (6.00%)
4401,Rhino Prime Neuroptics Blueprint,Uncommon (17.00%)
4402,Boltor Prime Receiver,Uncommon (17.00%)
4403,Mag Prime Neuroptics Blueprint,Uncommon (20.00%)
4404,Ankyros Prime Blueprint,Uncommon (20.00%)
4405,Forma Blueprint,Uncommon (20.00%)
4406,,
4407,Lith B1 Relic (Radiant),Lith B1 Relic (Radiant)
4408,Boar Prime Stock,Uncommon (10.00%)
4409,Rhino Prime Neuroptics Blueprint,Uncommon (20.00%)
4410,Boltor Prime Receiver,Uncommon (20.00%)
4411,Mag Prime Neuroptics Blueprint,Uncommon (16.67%)
4412,Ankyros Prime Blueprint,Uncommon (16.67%)
4413,Forma Blueprint,Uncommon (16.67%)
